location,x,y
scalp,198,60
face,198,105
left_arm,293,287
left_forearm,314,378
left_hand,332,491
left_leg,233,632
left_foot,223,833
right_foot,172,833
right_leg,162,632
right_hand,63,491
right_forearm,84,378
right_arm,101,287
collarbone,225,196
groin/buttocks,198,468
